,N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
9,206.0,KODEX 단기채권PLUS,110200.0,35.0,+0.03%,0.0,12169.0,11043.0,0.0,51421.0,,,
10,207.0,SK네트웍스,5490.0,70.0,-1.26%,2500.0,12148.0,221278.0,15.03,573366.0,-1830.0,-0.03,
11,208.0,TIGER TOP10,12555.0,95.0,-0.75%,0.0,12103.0,96400.0,17.97,82365.0,,,
12,209.0,코스모화학,31400.0,1050.0,-3.24%,1000.0,12060.0,38408.0,6.57,241520.0,-42.43,-10.55,
13,210.0,효성,56300.0,400.0,-0.71%,5000.0,11863.0,21071.0,7.35,36336.0,18766.7,0.0,
17,211.0,한국콜마,50000.0,1350.0,+2.77%,500.0,11803.0,23605.0,29.85,167421.0,220.26,0.79,
18,212.0,현대백화점,50100.0,600.0,-1.18%,5000.0,11725.0,23402.0,22.9,73834.0,-14.7,-1.76,
19,213.0,롯데웰푸드,123000.0,1700.0,-1.36%,500.0,11605.0,9435.0,11.78,5837.0,16.45,3.46,
20,214.0,롯데칠성,124500.0,2700.0,-2.12%,500.0,11552.0,9279.0,12.2,26280.0,7.55,11.61,
21,215.0,KG모빌리티,5880.0,120.0,-2.00%,5000.0,11453.0,194787.0,24.68,305732.0,122.5,0.82,
25,216.0,KBSTAR 종합채권(A-이상)액티브,101550.0,200.0,+0.20%,0.0,11414.0,11240.0,0.0,2997.0,,,
26,217.0,롯데정밀화학,44200.0,1000.0,-2.21%,5000.0,11404.0,25800.0,21.53,80480.0,6.27,7.78,
27,218.0,영원무역홀딩스,83000.0,1800.0,-2.12%,500.0,11318.0,13636.0,19.38,14875.0,3.04,16.88,
28,219.0,동원시스템즈,39000.0,350.0,-0.89%,5000.0,11307.0,28991.0,13.97,41946.0,17.78,8.56,
29,220.0,SK리츠,4095.0,45.0,+1.11%,500.0,11062.0,270133.0,7.18,289586.0,315.0,0.33,
33,221.0,HD현대건설기계,56100.0,100.0,+0.18%,5000.0,11052.0,19701.0,17.88,124416.0,7.93,9.17,
34,222.0,한샘,46900.0,500.0,+1.08%,1000.0,11037.0,23534.0,14.12,19406.0,-17.76,-15.77,
35,223.0,삼아알미늄,74000.0,5000.0,-6.33%,500.0,10887.0,14712.0,38.85,95083.0,313.56,1.73,
36,224.0,HDC현대산업개발,16450.0,820.0,-4.75%,5000.0,10842.0,65907.0,17.2,232021.0,6.26,5.87,
37,225.0,TIGER 24-12 금융채(AA-이상),51065.0,0.0,0.00%,0.0,10736.0,21024.0,0.0,3276.0,,,
41,226.0,대웅,18400.0,230.0,-1.23%,500.0,10698.0,58142.0,5.88,30993.0,7.01,17.31,
42,227.0,DL,50600.0,1300.0,-2.50%,5000.0,10604.0,20956.0,12.51,70522.0,-8.59,-3.44,
43,228.0,ACE 미국30년국채액티브(H),8225.0,25.0,-0.30%,0.0,10487.0,127500.0,0.0,2106284.0,,,
44,229.0,KODEX 미국S&P500TR,16225.0,250.0,+1.56%,0.0,10376.0,63950.0,0.0,1348737.0,,,
45,230.0,롯데손해보험,3270.0,10.0,+0.31%,1000.0,10148.0,310336.0,0.87,2451523.0,3.36,19.72,
49,231.0,LX인터내셔널,26150.0,50.0,+0.19%,5000.0,10136.0,38760.0,19.91,140747.0,8.66,5.17,
50,232.0,SK케미칼,58400.0,600.0,-1.02%,5000.0,10076.0,17254.0,13.06,18319.0,28.38,1.87,
51,233.0,롯데렌탈,27500.0,50.0,-0.18%,5000.0,10074.0,36634.0,5.13,19462.0,8.4,9.01,
52,234.0,KODEX 코스닥150레버리지,11455.0,70.0,-0.61%,0.0,9817.0,85700.0,1.52,17923704.0,,,
53,235.0,일진전기,20450.0,150.0,+0.74%,1000.0,9752.0,47685.0,3.95,4465448.0,23.48,9.65,
57,236.0,코오롱인더,35100.0,750.0,-2.09%,5000.0,9659.0,27519.0,13.45,115207.0,24.86,1.58,
58,237.0,ACE 미국S&P500,18065.0,280.0,+1.57%,0.0,9466.0,52400.0,0.47,227287.0,,,
59,238.0,메리츠 KIS CD금리투자 ETN,51965.0,15.0,+0.03%,0.0,9406.0,18100.0,0.0,3000.0,,,
60,239.0,세아제강지주,226000.0,5000.0,-2.16%,5000.0,9360.0,4142.0,9.95,2051.0,3.3,17.18,
61,240.0,ESR켄달스퀘어리츠,4390.0,45.0,+1.04%,1000.0,9355.0,213089.0,44.66,203575.0,78.39,1.05,
65,241.0,대한유화,141800.0,6200.0,-4.19%,5000.0,9217.0,6500.0,7.26,15637.0,-31.74,-1.58,
66,242.0,미원상사,192400.0,4400.0,+2.34%,500.0,9139.0,4750.0,2.85,4939.0,15.28,16.95,
67,243.0,제주항공,11090.0,120.0,-1.07%,1000.0,8943.0,80641.0,3.83,124233.0,6.38,44.86,
68,244.0,넥센타이어,9120.0,380.0,-4.00%,500.0,8907.0,97668.0,6.41,299798.0,9.24,6.26,
69,245.0,하나투어,55200.0,700.0,-1.25%,500.0,8854.0,16039.0,11.11,112508.0,18.83,32.03,
73,246.0,해성디에스,52000.0,1000.0,-1.89%,5000.0,8840.0,17000.0,17.15,68710.0,10.47,17.55,
74,247.0,오리온홀딩스,14000.0,100.0,-0.71%,500.0,8770.0,62645.0,7.06,77527.0,10.24,3.93,
75,248.0,율촌화학,35150.0,800.0,+2.33%,500.0,8717.0,24800.0,5.1,79950.0,-45.65,-5.96,
76,249.0,한일시멘트,12470.0,10.0,+0.08%,500.0,8637.0,69262.0,3.34,88325.0,5.08,11.21,
77,250.0,더블유게임즈,40050.0,650.0,+1.65%,500.0,8609.0,21496.0,14.65,57936.0,5.79,18.62,
1,251.0,이노션,21400.0,200.0,-0.93%,500.0,8560.0,40000.0,26.16,49448.0,8.41,11.56,
2,252.0,미래에셋생명,4830.0,25.0,-0.51%,5000.0,8550.0,177016.0,1.71,142793.0,8.16,3.35,
3,253.0,다우기술,18470.0,1090.0,-5.57%,500.0,8287.0,44867.0,23.33,400851.0,3.67,9.35,
4,254.0,SK디스커버리,44000.0,900.0,-2.00%,5000.0,8266.0,18786.0,12.42,38225.0,4.7,6.63,
5,255.0,케이씨텍,39550.0,1450.0,+3.81%,500.0,8251.0,20862.0,15.36,261114.0,26.02,7.22,
9,256.0,KODEX 코스닥150,14085.0,25.0,-0.18%,0.0,8226.0,58400.0,3.57,5307102.0,,,
10,257.0,GKL,13280.0,130.0,-0.97%,500.0,8214.0,61856.0,8.29,231042.0,18.73,11.04,
11,258.0,한화엔진,9840.0,360.0,+3.80%,1000.0,8211.0,83447.0,4.44,402384.0,-1640.0,-0.19,
12,259.0,일진하이솔루스,22600.0,200.0,-0.88%,500.0,8207.0,36313.0,3.22,27560.0,579.49,0.45,
13,260.0,영풍,443500.0,0.0,0.00%,5000.0,8169.0,1842.0,4.42,1041.0,-13.42,-1.58,
17,261.0,동양생명,5040.0,100.0,-1.95%,5000.0,8132.0,161359.0,83.33,203288.0,3.01,6.97,
18,262.0,SK오션플랜트,13660.0,190.0,-1.37%,500.0,8086.0,59196.0,5.15,220103.0,13.12,9.46,
19,263.0,아시아나항공,10830.0,40.0,-0.37%,5000.0,8059.0,74412.0,7.17,106608.0,7.07,16.61,
20,264.0,한화투자증권,3750.0,100.0,+2.74%,5000.0,8046.0,214548.0,6.6,1936871.0,89.29,0.59,
21,265.0,제이알글로벌리츠,4075.0,10.0,+0.25%,1000.0,8043.0,197376.0,9.3,401819.0,34.53,2.61,
25,266.0,DN오토모티브,80200.0,0.0,0.00%,500.0,8015.0,9994.0,2.61,6579.0,2.92,27.29,
26,267.0,TIGER 미국배당다우존스,11490.0,65.0,+0.57%,0.0,7905.0,68800.0,0.0,635969.0,,,
27,268.0,보령,11490.0,160.0,+1.41%,500.0,7892.0,68690.0,9.16,188421.0,19.64,7.55,
28,269.0,TKG휴켐스,19210.0,20.0,+0.10%,1000.0,7853.0,40879.0,7.88,44432.0,5.83,,
29,270.0,롯데리츠,3230.0,5.0,-0.15%,500.0,7848.0,242969.0,8.59,201109.0,248.46,0.29,
33,271.0,한세실업,19610.0,490.0,-2.44%,500.0,7844.0,40000.0,6.85,240369.0,7.0,18.98,
34,272.0,세아베스틸지주,21800.0,100.0,-0.46%,5000.0,7818.0,35862.0,9.77,49630.0,6.1,6.68,
35,273.0,경동나비엔,53600.0,2200.0,-3.94%,1000.0,7809.0,14569.0,11.58,36639.0,9.39,15.09,
